CustomerKey,GeographyKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,YearlyIncome,NumberChildrenAtHome,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase
11063,634,Angela,Murphy,1995-04-07,S,F,40000,0,Skilled Manual,1,2,4927 Virgil Street,# 21,451-555-0162,2018-07-16
11064,315,Chase,Reed,1995-12-07,M,M,40000,0,Skilled Manual,1,2,2721 Alexander Pl.,,892-555-0184,2018-07-29
11065,331,Jessica,Henderson,1993-10-09,M,F,60000,0,Skilled Manual,0,2,9343 Ironwood Way,,278-555-0186,2018-08-14
11066,543,Grace,Butler,1993-11-27,M,F,70000,0,Professional,1,2,4739 Garden Ave.,,712-555-0141,2018-12-02
11067,632,Caleb,Carter,1996-09-25,S,M,60000,0,Professional,1,2,9563 Pennsylvania Blvd.,,944-555-0167,2019-02-19
11068,40,Tiffany,Liang,1975-09-23,S,F,80000,0,Skilled Manual,1,2,3608 Sinclair Avenue,# 701,1 (11) 500 555-0177,2018-11-01
11069,23,Carolyn,Navarro,1975-09-21,S,F,80000,0,Skilled Manual,0,2,4606 Springwood Court,,1 (11) 500 555-0145,2016-10-18
11070,39,Willie,Raji,1975-04-05,M,M,80000,0,Skilled Manual,1,2,6260 Vernal Drive,,1 (11) 500 555-0151,2016-10-29
11071,24,Linda,Serrano,1975-06-26,S,F,80000,0,Skilled Manual,1,2,9808 Shaw Rd.,,1 (11) 500 555-0130,2018-09-02
11072,17,Casey,Luo,1975-02-06,S,F,80000,0,Skilled Manual,0,2,9513 Roslyn Drive,,1 (11) 500 555-0125,2016-10-01
11073,16,Amy,Ye,1976-08-14,S,F,70000,0,Skilled Manual,1,2,2262 Kirkwood Ct.,,1 (11) 500 555-0185,2018-09-24
11074,28,Levi,Arun,1976-08-28,S,M,70000,0,Skilled Manual,1,2,4661 Bluetail,,1 (11) 500 555-0127,2018-09-24
11075,32,Felicia,Jimenez,1977-11-16,S,F,80000,0,Professional,1,2,786 Eastgate Ave,,1 (11) 500 555-0165,2016-10-29
11076,19,Blake,Anderson,1977-07-13,S,M,80000,0,Professional,1,2,5436 Clear,# 101,1 (11) 500 555-0113,2016-10-22
11077,36,Leah,Ye,1977-09-19,S,F,80000,0,Professional,0,2,1291 Arguello Blvd.,,1 (11) 500 555-0154,2016-10-16
11078,49,Gina,Martin,1994-01-10,S,F,40000,0,Professional,0,2,1349 Sol St.,,196-555-0114,2018-08-19
11079,34,Donald,Gonzalez,1979-03-11,S,M,160000,0,Management,1,2,4236 Malibu Place,,1 (11) 500 555-0137,2018-09-16
11080,30,Damien,Chander,1979-07-17,M,M,170000,0,Management,1,2,9941 Stonehedge Dr.,,1 (11) 500 555-0111,2016-10-11
11081,311,Savannah,Baker,1986-07-24,M,F,120000,2,Management,1,3,1210 Trafalgar Circle,,478-555-0117,2018-08-16
11082,322,Angela,Butler,1986-08-04,S,F,130000,1,Management,0,3,6040 Listing Ct,,579-555-0195,2018-07-26
11083,336,Alyssa,Cox,1986-03-15,M,F,130000,1,Management,1,3,867 La Orinda Place,,561-555-0140,2018-07-10
11084,543,Lucas,Phillips,1977-09-12,S,M,80000,0,Skilled Manual,0,2,8668 St. Celestine Court,,863-555-0172,2018-07-08
11085,345,Emily,Johnson,1977-07-19,S,F,60000,0,Professional,0,2,7926 Stephanie Way,,850-555-0184,2019-06-08
11086,369,Ryan,Brown,1977-12-23,M,M,70000,1,Professional,1,0,2939 Wesley Ct.,,539-555-0198,2019-01-03
11087,307,Tamara,Liang,1977-10-03,M,F,70000,2,Professional,0,0,3791 Rossmor Parkway,,178-555-0152,2018-08-29
11088,359,Hunter,Davis,1977-11-25,M,M,80000,1,Management,1,0,4308 Sand Pointe Lane,,612-555-0141,2018-07-17
11089,337,Abigail,Price,1977-02-05,S,F,80000,1,Management,1,1,2685 Blackburn Ct,,532-555-0117,2018-07-02
11090,338,Trevor,Bryant,1977-12-17,S,M,90000,0,Professional,1,1,5781 Sharon Dr.,,853-555-0174,2017-02-07
11091,50,Dalton,Perez,1977-04-04,M,M,90000,0,Professional,1,1,6083 San Jose,,559-555-0115,2018-08-02
11092,22,Cheryl,Diaz,1987-05-06,M,F,90000,2,Professional,1,0,7297 Kaywood Drive,,1 (11) 500 555-0192,2016-10-09
11093,19,Aimee,He,1987-09-10,M,F,100000,0,Management,1,0,1833 Olympic Drive,,1 (11) 500 555-0161,2016-10-08
11094,33,Cedric,Ma,1982-04-01,S,M,70000,0,Skilled Manual,0,1,3407 Oak Brook Place,,1 (11) 500 555-0115,2018-10-09
11095,13,Chad,Kumar,1982-09-01,S,M,70000,0,Skilled Manual,1,1,1681 Lighthouse Way,,1 (11) 500 555-0151,2016-10-02
11096,12,Andrés,Anand,1982-08-10,M,M,60000,0,Professional,1,1,5423 Los Gatos Ct.,,1 (11) 500 555-0184,2016-10-12
11097,40,Edwin,Nara,1981-10-27,M,M,60000,0,Skilled Manual,1,1,719 William Way,,1 (11) 500 555-0112,2016-10-05
11098,14,Mallory,Rubio,1981-05-01,S,F,60000,0,Skilled Manual,0,1,6452 Harris Circle,,1 (11) 500 555-0157,2018-08-15
11099,13,Adam,Ross,1981-03-08,M,M,60000,0,Professional,1,1,4378 Westminster Place,,1 (11) 500 555-0186,2016-10-08
11100,28,Latasha,Navarro,1980-09-15,S,F,60000,0,Skilled Manual,1,1,6954 Ranch Road,,1 (11) 500 555-0123,2016-10-17
11101,33,Abby,Sai,1985-05-08,S,F,70000,0,Professional,0,1,7074 N. Spoonwood Court,,1 (11) 500 555-0174,2016-10-30
11102,18,Julia,Nelson,1985-04-21,S,F,80000,5,Professional,1,4,2196 Coat Ct.,,1 (11) 500 555-0124,2019-01-17
11103,3,Cassie,Chande,1984-10-17,S,F,70000,0,Professional,1,1,9448 San Marino Ct.,,1 (11) 500 555-0166,2016-10-16
11104,23,Edgar,Sara,1984-03-11,M,M,70000,0,Professional,0,1,6127 Lilly Lane,,1 (11) 500 555-0125,2016-11-04
11105,8,Candace,Fernandez,1984-12-28,S,F,70000,0,Professional,0,1,5029 Blue Ridge,,1 (11) 500 555-0162,2016-11-14
11106,40,Jessie,Liu,1984-09-11,S,M,70000,0,Professional,0,1,3063 Blue Jay Drive,,1 (11) 500 555-0163,2016-11-18
11107,17,Bianca,Lin,1979-09-09,M,F,90000,0,Professional,1,1,7530 Eola,,1 (11) 500 555-0121,2016-11-01
11108,13,Kari,Alvarez,1983-07-14,S,F,70000,0,Professional,0,2,9178 Thornhill Place,,1 (11) 500 555-0169,2016-11-03
11109,38,Ruben,Kapoor,1983-11-05,S,M,70000,0,Professional,0,2,1984 Glendale Circle,,1 (11) 500 555-0132,2016-11-10
11110,3,Curtis,Yang,1982-06-06,M,M,60000,0,Skilled Manual,1,1,4052 Mt. Wilson Way,,1 (11) 500 555-0127,2016-11-01
11111,34,Meredith,Gutierrez,1982-02-23,M,F,60000,0,Skilled Manual,1,1,7610 Northridge Ct.,,1 (11) 500 555-0179,2016-11-20
11112,25,Crystal,Wang,1982-09-09,M,F,60000,0,Skilled Manual,1,1,2773 Kirkwood Dr,,1 (11) 500 555-0134,2016-11-25
11113,30,Micheal,Blanco,1982-02-21,M,M,70000,4,Professional,1,2,596 Marfargoa Drive,,1 (11) 500 555-0131,2018-08-05
11114,14,Leslie,Moreno,1982-05-28,S,F,70000,4,Skilled Manual,1,2,7941 Cristobal,,1 (11) 500 555-0115,2018-09-19
11115,17,Alvin,Cai,1982-02-12,M,M,70000,4,Skilled Manual,1,2,7759 Azalea Avenue,,1 (11) 500 555-0191,2018-08-14
11116,18,Clinton,Carlson,1982-10-07,M,M,70000,4,Skilled Manual,1,2,7943 Cunha Ct.,,1 (11) 500 555-0184,2018-09-16
11117,8,April,Deng,1981-02-21,M,F,70000,4,Skilled Manual,1,3,485 Ash Lane,,1 (11) 500 555-0182,2016-11-06
11118,6,Alvin,Zeng,1977-07-03,S,M,80000,0,Skilled Manual,0,1,3853 Wildcat Circle,Unit 13c12,1 (11) 500 555-0174,2019-01-11
11119,13,Evan,James,1955-04-10,S,M,30000,0,Clerical,0,2,4157 Sierra Ridge,,1 (11) 500 555-0187,2018-08-07
11120,18,Beth,Jiménez,1956-08-09,S,F,40000,0,Management,1,1,7401 Las Palmas,,1 (11) 500 555-0164,2016-11-14
11121,10,Orlando,Suarez,1980-11-18,M,M,70000,4,Skilled Manual,1,3,7743 Hames Dr,,1 (11) 500 555-0198,2018-12-26
11122,12,Byron,Vazquez,1980-04-02,M,M,70000,4,Skilled Manual,1,3,3187 Hackamore Lane,,1 (11) 500 555-0136,2018-08-25
11123,39,Philip,Alvarez,1980-06-20,M,M,70000,4,Skilled Manual,1,3,2775 Mt. Olivet Pl.,,1 (11) 500 555-0191,2018-10-19
11124,40,Ross,Jordan,1977-07-27,S,M,80000,0,Skilled Manual,1,1,6973 Dublin Court,,1 (11) 500 555-0126,2016-11-05
11125,37,Dana,Navarro,1976-04-08,S,F,70000,0,Skilled Manual,1,1,8481 Zartop Street,,1 (11) 500 555-0172,2018-08-04
11126,11,Shaun,Carson,1969-04-07,M,M,10000,1,Skilled Manual,0,2,57 Wolf Way,,1 (11) 500 555-0155,2016-11-28
11127,361,Jan,Edwards,1995-10-21,M,F,40000,0,Skilled Manual,1,1,9409 The Alameda,,111-555-0118,2018-10-12
11128,635,Samantha,Long,1995-12-05,M,F,40000,0,Skilled Manual,1,1,1606 Alderwood Lane,,175-555-0139,2018-12-21
11129,638,Julia,Wright,1995-08-05,S,F,40000,0,Skilled Manual,1,1,7397 Central Blvd.,,456-555-0174,2017-02-06
11130,543,Caroline,Russell,2000-01-06,M,F,30000,0,Skilled Manual,1,2,3884 Bates Court,,424-555-0137,2019-06-11
11131,50,Amanda,Rivera,2000-03-12,M,F,30000,0,Skilled Manual,0,2,9573 Royal Oak Rd.,,918-555-0126,2019-04-20
11132,51,Melissa,Richardson,2000-10-26,S,F,30000,0,Skilled Manual,0,2,6832 Fruitwood Dr,,928-555-0118,2018-10-11
11133,542,Angela,Griffin,2000-09-08,S,F,30000,0,Clerical,0,2,3828 Baltic Sea Ct,,598-555-0174,2019-07-02
11134,30,Larry,Townsend,1966-02-26,S,M,10000,0,Skilled Manual,1,2,7034 Carson,,1 (11) 500 555-0130,2016-11-03
11135,302,Marcus,Harris,1999-11-03,S,M,30000,0,Clerical,0,2,9068 Quiet Place Drive,,442-555-0119,2018-10-20
11136,53,Brianna,Morgan,1998-10-26,S,F,40000,0,Skilled Manual,0,2,9005 Eagle Ct.,,954-555-0117,2018-07-07
11137,641,Jasmine,Taylor,1998-07-20,M,F,40000,0,Skilled Manual,1,2,2457 Matterhorn Court,,557-555-0146,2019-02-01
11138,325,Lauren,Davis,1998-09-15,M,F,40000,0,Skilled Manual,0,2,8105 Pembrook Court,,832-555-0121,2019-03-22
11139,28,Tanya,Moreno,1958-11-09,S,F,30000,0,Clerical,0,2,6155 Wilbur Drive,,1 (11) 500 555-0185,2019-03-17
11140,301,Javier,Alvarez,1997-02-11,S,M,30000,0,Clerical,0,2,8935 Etcheverry Dr.,,763-555-0134,2018-09-20
11141,314,Nicole,Ramirez,1997-06-21,M,F,40000,0,Skilled Manual,0,2,1101 C Street,,152-555-0162,2018-11-17
11142,51,Eduardo,Patterson,1997-08-14,S,M,40000,0,Skilled Manual,0,2,6255 Macalvey Dr.,,190-555-0184,2018-08-17
11143,334,Jonathan,Henderson,1997-02-04,M,M,40000,0,Skilled Manual,1,2,165 East Lane Road,,149-555-0113,2018-12-17
11144,607,Edward,Hernandez,1999-09-09,S,M,40000,0,Skilled Manual,0,2,7607 Pine Hollow Road,,178-555-0196,2018-07-29
11145,536,Jasmine,Coleman,1999-12-08,S,F,40000,0,Skilled Manual,0,2,1961 Oak Grove Road,,857-555-0115,2018-07-29
11146,8,Karla,Goel,1959-08-26,S,F,40000,0,Management,1,2,3272 Corrie Lane,,1 (11) 500 555-0137,2018-08-09
11147,40,Ernest,Wu,1959-02-05,M,M,60000,0,Management,1,1,1832 RiverRock Dr,,1 (11) 500 555-0139,2016-11-13
11148,22,Ross,Vazquez,1961-08-16,M,M,40000,0,Management,1,2,1201 Paso Del Rio Way,,1 (11) 500 555-0163,2018-09-08
11149,25,Theodore,Gill,1961-04-20,M,M,40000,0,Management,1,2,9120 Pinewood Court,,1 (11) 500 555-0194,2018-12-06
11150,39,Russell,Shen,1961-03-15,S,M,40000,0,Management,1,2,4755 Easley Drive,,1 (11) 500 555-0191,2018-09-28
11151,18,Melinda,Gill,1962-02-25,S,F,60000,0,Management,0,1,805 Rainier Dr.,,1 (11) 500 555-0117,2016-11-15
11152,633,James,Williams,1996-01-10,S,M,40000,0,Skilled Manual,1,2,6827 Seagull Court,,355-555-0153,2018-07-13
11153,635,Angela,James,1996-06-23,M,F,40000,0,Skilled Manual,1,2,8877 Weatherly Drive,,847-555-0111,2018-09-30
11154,553,Megan,Walker,1996-08-21,S,F,40000,0,Skilled Manual,1,1,6898 Holiday Hills,,918-555-0186,2018-07-14
11155,301,Hunter,Robinson,1996-01-26,S,M,40000,0,Skilled Manual,0,1,8356 Mori Court,,891-555-0125,2018-07-10
11156,334,Maria,Roberts,1996-02-07,S,F,40000,0,Skilled Manual,0,1,9452 Mariposa Ct.,,158-555-0199,2018-07-12
11157,642,Hannah,Long,1995-06-11,M,F,40000,0,Skilled Manual,1,2,1832 Preston Ct.,,974-555-0177,2019-01-25
11158,361,Jason,Wright,1995-10-08,S,M,40000,0,Skilled Manual,1,2,6771 Bundros Court,,694-555-0176,2018-07-23
11159,385,Brianna,Hughes,1995-09-17,S,F,40000,0,Skilled Manual,0,2,6793 Bonifacio St.,,319-555-0183,2019-03-11
11160,311,Maurice,Tang,1994-01-08,S,M,40000,0,Skilled Manual,0,1,2886 Chaparral Court,Space # 45,947-555-0172,2018-08-25
11161,311,Emily,Wood,1994-04-22,S,F,40000,0,Skilled Manual,0,1,1562 Black Walnut,,184-555-0114,2018-12-03
11162,331,Chase,Cox,1994-03-05,S,M,40000,0,Skilled Manual,1,1,P.O. Box 8070,,764-555-0116,2018-08-22
11163,372,Gabriel,Wang,1994-12-20,M,M,40000,0,Skilled Manual,1,1,8002 Crane Court,,617-555-0150,2018-11-02
11164,374,Devin,Brooks,1994-05-05,S,M,40000,0,Skilled Manual,0,1,4231 Highland Dr.,,502-555-0138,2018-10-29
11165,348,Jocelyn,Alexander,1993-07-18,M,F,60000,0,Skilled Manual,0,1,3376 Bank Way,,354-555-0134,2018-11-26
11166,631,Ashley,Martinez,1992-04-24,S,F,70000,0,Skilled Manual,0,2,6993 Whyte Park Ave.,,131-555-0194,2019-04-16
11167,618,Jasmine,Barnes,1992-08-01,S,F,80000,0,Management,0,1,9183 Via Del Sol,,178-555-0156,2018-07-11
11168,348,David,Rodriguez,1988-05-15,S,M,80000,0,Management,0,1,38 Shangri-la Rd.,,730-555-0128,2018-07-19
11169,312,Bryce,Richardson,1988-06-22,M,M,90000,4,Management,1,1,1841 Blackwood Drive,,178-555-0176,2018-11-27
11170,612,Carol,Howard,1988-02-05,M,F,90000,4,Management,1,1,6281 Edward Ave,,845-555-0127,2019-02-27
11171,385,Jonathan,Hill,1987-10-09,S,M,100000,0,Management,1,2,3731 Chinquapin Ct,,134-555-0196,2017-02-20
11172,626,Gabrielle,Adams,1987-11-21,M,F,100000,0,Management,1,2,5621 Arcadia Pl.,,403-555-0152,2018-11-04
11173,552,Sarah,Thomas,1987-09-01,S,F,110000,0,Management,0,4,5636 Mt. Whitney Dr.,,868-555-0188,2018-09-03
11174,338,Nicholas,Robinson,1987-07-13,M,M,110000,1,Management,1,0,1318 Lasalle Street,,949-555-0138,2019-01-14
11175,300,Luis,Wang,1983-03-05,S,M,70000,0,Skilled Manual,1,2,6943 Patterson Blvd.,,418-555-0127,2017-02-28
11176,50,Mason,Roberts,1988-01-25,M,M,90000,4,Management,1,1,5753 Megan Dr.,,539-555-0162,2018-08-06
11177,359,Jose,Flores,1962-07-04,M,M,110000,4,Management,1,2,3991 Rambling Rose Drive,,157-555-0182,2018-09-30
11178,334,Nathan,Johnson,1963-08-24,M,M,100000,3,Management,1,3,8927 Daylight Place,,117-555-0182,2018-08-25
11179,300,Molly,Rodriguez,1963-06-14,M,F,120000,4,Management,1,3,5556 Riverland Dr.,,135-555-0185,2018-09-13
11180,307,April,Anand,1963-01-02,M,F,160000,3,Management,1,4,3531 Brookview Drive,,702-555-0144,2018-09-18
11181,338,Devin,Martin,1963-08-08,M,M,170000,3,Management,1,2,1085 Greenbelt Way,Unit B-105,735-555-0197,2018-11-08
11182,638,Stephanie,Torres,1964-08-25,S,F,70000,0,Management,1,2,6968 Mildred Ln.,,567-555-0176,2019-02-28
11183,368,Jasmine,Lee,1964-07-15,S,F,70000,0,Management,1,2,7502 Contuti Avenue,,147-555-0199,2018-11-01
11184,311,Meghan,Hernandez,1964-11-16,S,F,70000,0,Management,1,2,5872 L St.,,967-555-0188,2019-02-11
11185,53,Ashley,Henderson,1964-10-08,S,F,70000,0,Management,1,2,8834 San Jose Ave.,,173-555-0121,2018-08-25
11186,352,Sarah,Price,1964-05-21,S,F,70000,0,Management,1,2,4815 Paraiso Ct.,,180-555-0133,2019-04-20
11187,612,Jennifer,Cooper,1964-02-22,M,F,60000,0,Management,1,2,2429 Longview Road,,857-555-0111,2018-10-05
11188,361,Catherine,Morris,1964-09-06,M,F,60000,0,Management,0,2,6542 Stonewood Drive,,795-555-0117,2019-05-04
11189,609,Lawrence,Blanco,1964-07-15,S,M,60000,0,Management,1,2,7502 Contuti Avenue,,656-555-0171,2017-02-26
11190,300,Carson,Bryant,1964-06-22,M,M,70000,0,Management,1,2,2995 Youngsdale Dr.,,240-555-0142,2019-02-28
11191,310,Kristi,Perez,1965-12-18,S,F,70000,0,Management,1,3,1769 Lislin Ct,,123-555-0181,2017-02-11
11192,637,James,Brown,1965-09-13,M,M,60000,0,Management,1,2,673 Old Mountain View Dr.,,725-555-0117,2018-12-25
11193,553,Ian,Gray,1965-02-13,M,M,60000,0,Management,1,2,5941 Gill Dr.,,596-555-0190,2018-08-29
11194,352,Jacqueline,Price,1965-06-10,M,F,60000,0,Management,1,2,872 Mark Twain Dr,,266-555-0112,2018-09-14
11195,635,Megan,Henderson,1966-02-10,M,F,60000,0,Management,1,3,8411 Mt. Olivet Place,,560-555-0150,2018-10-16
11196,536,Alfredo,Romero,1966-06-07,M,M,60000,0,Management,1,3,2499 Greendell Pl,,342-555-0110,2018-09-04
11197,637,Andrea,Morris,1966-06-18,M,F,70000,1,Management,0,1,1883 Green View Court,,715-555-0178,2018-11-03
